Designator,Mid X,Mid Y,Rotation,Layer
D1,80.9625,-53.1387,0.0,top
D10,91.64,-69.46,90.0,bottom
D14,130.21,-69.75,90.0,bottom
D15,111.06,-88.03,90.0,bottom
D16,72.29,-88.08,90.0,bottom
D17,147.87,-69.83,90.0,bottom
D19,130.23,-88.01,90.0,bottom
D2,90.4838,-53.1287,0.0,top
D20,110.98,-69.83,90.0,bottom
D21,91.51,-88.72,90.0,bottom
D22,147.55,-88.76,90.0,bottom
D3,100.0125,-53.1287,0.0,top
D4,109.6063,-53.1187,0.0,top
D5,119.1313,-53.04,0.0,top
D7,70.96,-69.58,90.0,bottom
SW1,64.2938,-66.9662,0.0,top
SW13,102.3938,-66.9662,0.0,top
SW14,121.4438,-86.0162,0.0,top
SW15,83.3438,-86.0162,0.0,top
SW16,140.4938,-86.0162,0.0,top
SW2,83.3438,-66.9662,0.0,top
SW5,121.4438,-66.9662,0.0,top
SW6,102.3938,-86.0162,0.0,top
SW7,64.2938,-86.0162,0.0,top
SW8,140.4938,-66.9662,0.0,top
U1,66.0205,-43.231,0.0,top
